date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:23	132/132	---M--	200	added ('OK')	text/plain	etag:%225eed5164-84%22	https://grupo-evolucion.webnode.es/robots.txt		(from )
19:00:23	34326/34326	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Jun%202020%2000:00:22%20GMT	https://grupo-evolucion.webnode.es/	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/index.html	(from )
19:00:23	247541/247541	---M-Z	200	added ('OK')	text/css	etag:%22a573404b74c1617e7f1307feea5e4336%22	https://d1di2lzuh97fh2.cloudfront.net/files/1x/1xf/1xfby8.css?ph=592b84a5a5	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/d1di2lzuh97fh2.cloudfront.net/files/1x/1xf/1xfby835cc.css	(from https://grupo-evolucion.webnode.es/)
19:00:24	41799/41799	---M-Z	200	added ('OK')	text/css	etag:%22b20fe07012af5e41d0a5cca9a3bb960a%22	https://d1di2lzuh97fh2.cloudfront.net/files/2r/2rf/2rf8hy.css?ph=592b84a5a5	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/d1di2lzuh97fh2.cloudfront.net/files/2r/2rf/2rf8hy35cc.css	(from https://grupo-evolucion.webnode.es/)
19:00:24	90722/90722	---M-Z	200	added ('OK')	text/css	etag:%22d364f5f5c50975e4d0799eef7182aa95%22	https://d1di2lzuh97fh2.cloudfront.net/files/06/06i/06iwbt.css?ph=592b84a5a5	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/d1di2lzuh97fh2.cloudfront.net/files/06/06i/06iwbt35cc.css	(from https://grupo-evolucion.webnode.es/)
19:00:24	7493/7493	---M-Z	200	added ('OK')	text/css	etag:%2289fbf2965574fc7de5334885710a9b16%22	https://d1di2lzuh97fh2.cloudfront.net/files/18/189/189vcb.css?ph=592b84a5a5	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/d1di2lzuh97fh2.cloudfront.net/files/18/189/189vcb35cc.css	(from https://grupo-evolucion.webnode.es/)
19:00:24	53586/53586	---M-Z	200	added ('OK')	text/css	etag:%223e4ce850cc63f28cacefb67f12d138a4%22	https://d1di2lzuh97fh2.cloudfront.net/files/1x/1xk/1xkzbf.css?ph=592b84a5a5	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/d1di2lzuh97fh2.cloudfront.net/files/1x/1xk/1xkzbf35cc.css	(from https://grupo-evolucion.webnode.es/)
19:00:25	22481/22481	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Jun%202020%2000:00:25%20GMT	https://use.typekit.net/lab8xti.css	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/use.typekit.net/lab8xti.css	(from https://grupo-evolucion.webnode.es/)
19:00:30	45958/45958	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20Jun%202020%2023:38:14%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/www.google-analytics.com/analytics.js	(from https://grupo-evolucion.webnode.es/)
19:00:30	196254/196254	---M--	200	added ('OK')	image/png	etag:%225eec2bbc-2fe9e%22	https://grupo-evolucion.webnode.es/_files/200000006-52c3a52c3c/700/code-jam.png	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/_files/200000006-52c3a52c3c/700/code-jam.png	(from https://grupo-evolucion.webnode.es/)
19:00:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2020%20Jun%202020%2000:00:27%20GMT	https://grupo-evolucion.webnode.es/wnd_header.set	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/wnd_header.8.delayed	(from https://grupo-evolucion.webnode.es/)
19:00:31	18013/18013	---M--	200	added ('OK')	image/png	etag:%225eec0108-465d%22	https://grupo-evolucion.webnode.es/_files/200000000-a9732a9733/200/logo%20g2.png	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/_files/200000000-a9732a9733/200/logo%20g2.png	(from https://grupo-evolucion.webnode.es/)
19:00:31	21309/21309	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Jun%202020%2000:00:31%20GMT	https://grupo-evolucion.webnode.es/wnd_header.set/	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/wnd_header.set/index.html	(from https://grupo-evolucion.webnode.es/)
19:00:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2020%20Jun%202020%2000:00:31%20GMT	https://grupo-evolucion.webnode.es/home/	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/home/index.html	(from https://grupo-evolucion.webnode.es/)
19:00:32	26884/26884	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Jun%202020%2000:00:32%20GMT	https://grupo-evolucion.webnode.es/instrumentos/	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/instrumentos/index.html	(from https://grupo-evolucion.webnode.es/)
19:00:32	26692/26692	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Jun%202020%2000:00:32%20GMT	https://grupo-evolucion.webnode.es/contacto/	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/contacto/index.html	(from https://grupo-evolucion.webnode.es/)
19:00:32	25837/25837	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Jun%202020%2000:00:32%20GMT	https://grupo-evolucion.webnode.es/metodos-de-ensenanza/	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/metodos-de-ensenanza/index.html	(from https://grupo-evolucion.webnode.es/)
19:00:32	64046/64046	---M--	200	added ('OK')	image/jpeg	etag:%225eec054b-fa2e%22	https://grupo-evolucion.webnode.es/_files/200000002-66f1e66f1f/450/Conoce-los-m%c3%a9todos-m%c3%a1s-usados-por-los-hackers-para-entrar-a-tu-gmail.jpg	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/_files/200000002-66f1e66f1f/450/Conoce-los-m%c3%a9todos-m%c3%a1s-usados-por-los-hackers-para-entrar-a-tu-gmail.jpg	(from https://grupo-evolucion.webnode.es/)
19:00:33	123378/123378	---M--	200	added ('OK')	image/jpeg	etag:%220c83c90b7111036e6390b59778405acf%22	https://d1di2lzuh97fh2.cloudfront.net/files/2w/2wp/450/2wpwgl.jpg?ph=592b84a5a5	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/d1di2lzuh97fh2.cloudfront.net/files/2w/2wp/450/2wpwgl35cc.jpg	(from https://grupo-evolucion.webnode.es/)
19:00:33	102764/102764	---M--	200	added ('OK')	image/png	etag:%225eecb734-1916c%22	https://grupo-evolucion.webnode.es/_files/200000010-a8c09a8c0b/450/stunt-pilot-drone.png	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/_files/200000010-a8c09a8c0b/450/stunt-pilot-drone.png	(from https://grupo-evolucion.webnode.es/)
19:00:33	34389/34389	---M--	200	added ('OK')	image/png	etag:%225eec2bbd-8655%22	https://grupo-evolucion.webnode.es/_files/200000006-52c3a52c3c/200/code-jam.png	C:/Users/51982/Documents/Camtasia%20Studio/afarensis/evo2/grupo-evolucion.webnode.es/_files/200000006-52c3a52c3c/200/code-jam.png	(from https://grupo-evolucion.webnode.es/)
